customerID;gender;SeniorCitizen;Partner;Dependents;Age;tenure;Busines Loan;MultipleBusinessLoans;CreditLine;Online Banking;Mortgage;Stocks;Forex;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn within a month;Satisfactory onboarding form
69;Female;0;Yes;Yes;48;50;Yes;No;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);20.15;930.9;No;2
70;Male;0;No;No;32;10;Yes;No;A;Yes;No;No;No;A;Yes;Mailed check;79.85;887.35;No;5
71;Male;0;No;No;33;1;Yes;No;B;No;Yes;No;No;A;No;Mailed check;49.05;49.05;No;4
72;Female;0;Yes;Yes;19;52;Yes;No;No;;No;No online banking;No online banking;B;Yes;Electronic check;20.4;1090.65;No;4
73;Male;1;Yes;Yes;66;64;Yes;Yes;A;Yes;Yes;Yes;Yes;C;Yes;Bank transfer (automatic);111.6;7099;No;3
74;Male;0;Yes;Yes;46;62;Yes;Yes;No;;No;No online banking;No online banking;C;Yes;Bank transfer (automatic);24.25;1424.6;No;1
75;Female;0;No;Yes;31;3;Yes;No;B;Yes;Yes;No;Yes;A;Yes;Bank transfer (automatic);64.5;177.4;No;5
76;Female;1;No;No;74;56;Yes;Yes;A;Yes;No;Yes;Yes;B;No;Electronic check;110.5;6139.5;No;3
77;Female;0;No;No;25;46;Yes;No;B;No;No;No;Yes;B;No;Credit card (automatic);55.65;2688.85;No;4
78;Female;0;Yes;Yes;46;8;Yes;No;B;Yes;No;No;No;A;No;Mailed check;54.65;482.25;No;1
79;Male;1;No;No;99;30;Yes;No;B;Yes;No;Yes;Yes;A;Yes;Electronic check;74.75;2111.3;No;4
80;Female;0;Yes;Yes;45;45;Yes;Yes;No;;No;No online banking;No online banking;B;Yes;Credit card (automatic);25.9;1216.6;No;2
81;Female;0;No;Yes;21;1;Yes;No;A;No;No;Yes;No;A;Yes;Electronic check;79.35;79.35;Yes;4
82;Female;0;Yes;Yes;34;11;No;;B;Yes;No;Yes;Yes;A;No;Electronic check;50.55;565.35;No;2
83;Female;0;Yes;No;33;7;Yes;No;A;No;No;No;No;A;Yes;Bank transfer (automatic);75.15;496.9;Yes;5
84;Female;0;No;No;52;42;Yes;No;A;No;Yes;Yes;Yes;A;Yes;Bank transfer (automatic);103.8;4327.5;No;5
85;Female;0;Yes;No;46;49;Yes;No;No;;No;No online banking;No online banking;C;Yes;Bank transfer (automatic);20.15;973.35;No;4
86;Male;0;No;No;37;9;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Credit card (automatic);99.3;918.75;No;1
87;Female;0;Yes;No;56;35;Yes;No;B;Yes;No;Yes;No;B;Yes;Bank transfer (automatic);62.15;2215.45;No;5
88;Female;0;Yes;Yes;56;48;Yes;No;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);20.65;1057;No;2
89;Female;0;Yes;Yes;53;46;Yes;No;No;;No;No online banking;No online banking;C;Yes;Mailed check;19.95;927.1;No;2
90;Male;0;Yes;No;32;29;No;;B;No;No;Yes;No;A;No;Mailed check;33.75;1009.25;No;3
91;Male;0;Yes;Yes;43;30;Yes;No;A;No;No;No;No;A;No;Bank transfer (automatic);82.05;2570.2;No;4
92;Male;1;No;No;74;1;Yes;No;A;No;Yes;No;No;A;No;Electronic check;74.7;74.7;No;1
93;Male;0;Yes;Yes;51;66;Yes;Yes;B;Yes;Yes;Yes;Yes;C;Yes;Mailed check;84;5714.25;No;5
94;Female;0;No;No;54;65;Yes;Yes;A;Yes;No;Yes;Yes;A;Yes;Credit card (automatic);111.05;7107;No;2
95;Male;0;No;No;41;72;Yes;Yes;A;No;No;Yes;Yes;C;Yes;Bank transfer (automatic);100.9;7459.05;No;1
96;Female;0;No;No;57;12;Yes;Yes;A;Yes;No;No;No;A;Yes;Electronic check;78.95;927.35;Yes;2
97;Male;0;Yes;Yes;31;71;Yes;Yes;B;Yes;Yes;No;No;B;Yes;Credit card (automatic);66.85;4748.7;No;2
98;Male;0;No;No;52;5;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;21.05;113.85;Yes;5
99;Male;0;No;No;50;52;Yes;No;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);21;1107.2;No;4
100;Female;1;Yes;No;88;25;Yes;No;A;No;No;Yes;Yes;A;Yes;Electronic check;98.5;2514.5;Yes;1
101;Male;0;No;No;43;1;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;20.2;20.2;No;4
102;Female;0;Yes;Yes;21;1;Yes;No;No;;No;No online banking;No online banking;A;No;Electronic check;19.45;19.45;No;2
103;Male;0;No;No;38;38;Yes;Yes;A;No;Yes;Yes;No;B;No;Bank transfer (automatic);95;3605.6;No;2
104;Female;1;Yes;No;73;66;No;;B;No;No;Yes;No;B;No;Bank transfer (automatic);45.55;3027.25;No;2
105;Male;0;Yes;No;48;68;Yes;Yes;A;No;Yes;Yes;Yes;C;Yes;Bank transfer (automatic);110;7611.85;Yes;1
106;Male;0;No;No;58;5;No;;B;No;No;No;No;A;No;Mailed check;24.3;100.2;No;3
107;Female;0;Yes;Yes;40;72;Yes;Yes;A;Yes;No;Yes;Yes;B;Yes;Electronic check;104.15;7303.05;No;3
108;Female;0;No;No;34;32;No;;B;Yes;No;No;No;B;No;Mailed check;30.15;927.65;No;1
109;Male;0;No;No;24;43;Yes;Yes;A;No;No;Yes;Yes;B;No;Mailed check;94.35;3921.3;No;1
110;Male;0;Yes;Yes;59;72;Yes;No;No;;No;No online banking;No online banking;C;No;Credit card (automatic);19.4;1363.25;No;1
111;Male;0;Yes;No;30;55;Yes;Yes;A;Yes;No;Yes;No;A;Yes;Electronic check;96.75;5238.9;Yes;3
112;Female;0;No;No;56;52;Yes;No;B;Yes;Yes;No;No;B;No;Credit card (automatic);57.95;3042.25;No;1
113;Female;0;No;No;39;43;Yes;No;A;No;No;Yes;No;A;Yes;Electronic check;91.65;3954.1;No;1
114;Female;1;Yes;No;75;37;Yes;Yes;A;No;No;No;No;A;Yes;Electronic check;76.5;2868.15;Yes;5
115;Female;0;Yes;Yes;32;64;No;;B;No;Yes;Yes;Yes;C;Yes;Electronic check;54.6;3423.5;No;4
116;Male;0;Yes;Yes;56;3;Yes;No;A;Yes;No;Yes;No;A;No;Electronic check;89.85;248.4;No;3
117;Female;0;No;No;35;36;No;;B;Yes;No;No;No;C;No;Bank transfer (automatic);31.05;1126.35;No;4
118;Female;0;Yes;Yes;51;10;Yes;Yes;A;Yes;No;Yes;Yes;A;Yes;Electronic check;100.25;1064.65;Yes;1
119;Female;0;No;No;50;41;Yes;No;No;;No;No online banking;No online banking;C;No;Mailed check;20.65;835.15;No;3
120;Male;0;Yes;Yes;18;27;Yes;Yes;A;No;Yes;No;No;A;Yes;Credit card (automatic);85.2;2151.6;No;1
121;Female;0;Yes;Yes;41;56;Yes;Yes;A;No;No;Yes;Yes;B;Yes;Credit card (automatic);99.8;5515.45;No;1
122;Female;0;No;No;39;6;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;20.7;112.75;No;4
123;Male;0;No;No;33;3;Yes;Yes;A;No;No;No;No;A;Yes;Electronic check;74.4;229.55;Yes;4
124;Female;0;Yes;Yes;49;7;Yes;No;B;Yes;No;No;No;A;No;Mailed check;50.7;350.35;No;1
125;Female;0;Yes;Yes;35;4;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;20.85;62.9;No;2
126;Male;0;No;No;56;33;Yes;No;A;Yes;Yes;Yes;No;C;Yes;Electronic check;88.95;3027.65;No;3
127;Female;1;No;No;84;27;Yes;Yes;A;No;No;No;No;A;Yes;Electronic check;78.05;2135.5;Yes;4
128;Male;0;Yes;No;28;72;Yes;Yes;No;;No;No online banking;No online banking;C;Yes;Bank transfer (automatic);23.55;1723.95;No;2
129;Male;0;No;No;19;1;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;19.75;19.75;No;5
130;Male;1;No;No;93;71;No;;B;Yes;No;Yes;Yes;B;Yes;Electronic check;56.45;3985.35;No;1
131;Female;0;No;No;42;13;Yes;Yes;A;No;No;No;Yes;A;Yes;Electronic check;85.95;1215.65;No;5
132;Female;0;Yes;Yes;37;25;No;;B;Yes;No;Yes;Yes;A;Yes;Credit card (automatic);58.6;1502.65;Yes;3
133;Male;0;No;No;37;67;Yes;No;B;No;Yes;No;No;C;No;Bank transfer (automatic);50.55;3260.1;No;5
134;Male;0;No;No;35;1;No;;B;No;No;No;Yes;A;Yes;Electronic check;35.45;35.45;Yes;2
135;Male;0;No;No;54;2;Yes;No;B;No;No;No;No;A;No;Electronic check;44.35;81.25;Yes;5
136;Female;0;No;No;46;43;Yes;Yes;No;;No;No online banking;No online banking;C;Yes;Credit card (automatic);25.7;1188.2;No;1
137;Female;0;No;No;46;23;Yes;No;A;Yes;No;No;No;A;Yes;Bank transfer (automatic);75;1778.5;No;4
138;Female;0;Yes;Yes;47;64;Yes;No;No;;No;No online banking;No online banking;C;No;Mailed check;20.2;1277.75;No;5
139;Male;0;No;Yes;33;57;Yes;No;No;;No;No online banking;No online banking;C;Yes;Mailed check;19.6;1170.55;No;4
140;Female;1;Yes;No;80;1;Yes;No;A;No;No;No;No;A;Yes;Mailed check;70.45;70.45;Yes;1
141;Female;1;Yes;Yes;76;72;Yes;Yes;B;Yes;Yes;Yes;Yes;C;Yes;Credit card (automatic);88.05;6425.65;No;1
142;Female;0;No;No;19;8;Yes;Yes;B;Yes;Yes;No;Yes;A;No;Electronic check;71.15;563.65;Yes;4
143;Female;0;Yes;No;50;61;Yes;Yes;A;No;No;Yes;Yes;C;Yes;Bank transfer (automatic);101.05;5971.25;No;4
144;Male;0;No;No;19;64;Yes;Yes;A;Yes;No;No;No;B;Yes;Credit card (automatic);84.3;5289.05;No;3
145;Male;1;Yes;No;86;71;Yes;Yes;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);23.95;1756.2;No;3
146;Female;0;Yes;Yes;20;65;Yes;Yes;A;Yes;Yes;Yes;No;C;Yes;Credit card (automatic);99.05;6416.7;No;1
147;Male;0;No;No;57;3;Yes;No;No;;No;No online banking;No online banking;B;No;Mailed check;19.6;61.35;No;5
148;Male;0;No;No;19;1;Yes;No;B;No;No;No;No;A;Yes;Electronic check;45.65;45.65;Yes;3
149;Male;0;No;Yes;24;30;Yes;No;B;No;No;Yes;No;B;No;Credit card (automatic);64.5;1929.95;No;4
150;Male;0;Yes;Yes;34;15;Yes;No;B;No;Yes;No;Yes;A;Yes;Mailed check;69.5;1071.4;No;5
151;Female;0;Yes;Yes;52;8;Yes;No;B;No;Yes;Yes;Yes;A;Yes;Electronic check;68.55;564.35;No;1
152;Male;0;No;No;41;7;Yes;Yes;A;No;No;Yes;Yes;A;No;Mailed check;95;655.5;Yes;4
153;Female;0;Yes;Yes;48;70;Yes;Yes;A;Yes;No;Yes;Yes;B;Yes;Credit card (automatic);108.15;7930.55;No;3
154;Male;0;Yes;Yes;57;62;Yes;No;B;Yes;Yes;Yes;Yes;C;No;Electronic check;86.1;5215.25;No;4
155;Female;0;Yes;Yes;48;6;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;19.7;113.5;No;2
156;Female;0;Yes;Yes;30;14;Yes;No;A;No;No;No;Yes;A;Yes;Bank transfer (automatic);80.9;1152.8;No;4
157;Female;0;No;No;21;22;Yes;Yes;A;No;No;Yes;No;A;Yes;Bank transfer (automatic);84.15;1821.95;No;3
158;Male;0;Yes;Yes;51;22;Yes;No;No;;No;No online banking;No online banking;B;No;Mailed check;20.15;419.9;No;4
159;Male;0;Yes;Yes;54;16;Yes;No;B;Yes;No;Yes;No;C;No;Mailed check;64.25;1024;No;3
160;Male;0;No;No;47;10;Yes;Yes;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);25.7;251.6;No;3
161;Female;0;No;Yes;47;13;Yes;No;B;Yes;No;No;No;A;Yes;Electronic check;56;764.55;No;2
162;Female;0;Yes;No;58;20;Yes;Yes;A;Yes;No;No;No;A;No;Electronic check;82.4;1592.35;Yes;2
163;Female;0;No;No;58;2;Yes;No;A;No;No;No;No;A;Yes;Electronic check;69.7;135.2;No;2
164;Male;0;No;No;55;53;Yes;Yes;B;No;Yes;No;Yes;C;Yes;Bank transfer (automatic);73.9;3958.25;No;4
165;Female;0;Yes;Yes;47;11;Yes;No;No;;No;No online banking;No online banking;B;No;Mailed check;20.6;233.9;No;3
166;Male;0;Yes;No;55;69;Yes;No;No;;No;No online banking;No online banking;C;No;Mailed check;19.9;1363.45;No;5
167;Female;0;No;No;29;4;Yes;No;A;No;No;No;No;A;Yes;Bank transfer (automatic);70.9;273;Yes;1
168;Male;0;Yes;No;32;72;Yes;Yes;B;Yes;Yes;Yes;Yes;C;Yes;Bank transfer (automatic);89.05;6254.45;No;2
169;Male;1;Yes;No;89;58;No;;B;No;No;No;Yes;A;Yes;Electronic check;45.3;2651.2;Yes;4
170;Female;0;Yes;Yes;52;16;Yes;No;No;;No;No online banking;No online banking;A;No;Electronic check;20.4;321.4;No;3
171;Male;0;Yes;No;27;43;Yes;No;A;Yes;Yes;No;No;B;Yes;Bank transfer (automatic);84.25;3539.25;No;5
172;Female;0;Yes;No;45;2;Yes;Yes;A;No;Yes;Yes;Yes;A;Yes;Electronic check;104.4;242.8;Yes;4
173;Male;0;Yes;No;47;14;Yes;No;B;No;Yes;Yes;Yes;C;No;Mailed check;81.95;1181.75;No;5
174;Female;0;Yes;No;19;53;Yes;No;A;No;No;Yes;Yes;B;Yes;Bank transfer (automatic);94.85;5000.2;Yes;4
175;Female;0;No;No;25;32;Yes;No;No;;No;No online banking;No online banking;B;No;Bank transfer (automatic);20.55;654.55;No;2
176;Female;0;Yes;No;26;34;Yes;Yes;No;;No;No online banking;No online banking;A;No;Electronic check;24.7;780.2;No;5
177;Female;1;No;No;80;15;Yes;Yes;A;No;No;No;No;A;Yes;Mailed check;74.45;1145.7;Yes;5
178;Female;1;No;No;88;7;Yes;No;A;Yes;No;No;No;A;No;Bank transfer (automatic);76.45;503.6;Yes;2
179;Female;0;Yes;Yes;25;15;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Bank transfer (automatic);105.35;1559.25;No;2
180;Male;0;Yes;No;26;61;Yes;No;No;;No;No online banking;No online banking;B;Yes;Credit card (automatic);20.55;1252;No;5
181;Female;0;No;No;40;1;No;;B;No;No;No;No;A;No;Bank transfer (automatic);29.95;29.95;Yes;5
182;Female;0;No;No;30;1;Yes;No;B;No;No;No;No;A;No;Mailed check;45.3;45.3;No;4
183;Male;0;No;No;40;8;Yes;Yes;A;No;No;No;Yes;A;No;Bank transfer (automatic);84.5;662.65;Yes;1
184;Male;0;Yes;Yes;44;33;Yes;No;B;Yes;No;Yes;Yes;B;No;Credit card (automatic);74.75;2453.3;No;3
185;Female;0;No;No;32;13;Yes;No;A;No;No;No;No;A;Yes;Electronic check;79.25;1111.65;Yes;2
186;Female;0;Yes;No;26;1;No;;B;No;No;No;No;A;Yes;Electronic check;24.8;24.8;Yes;4
187;Male;0;No;No;27;20;Yes;No;B;No;No;No;No;A;Yes;Mailed check;51.8;1023.85;No;5
188;Male;0;No;No;21;3;No;;B;No;Yes;No;No;A;No;Electronic check;30.4;82.15;No;3
189;Female;0;No;No;42;13;Yes;No;No;;No;No online banking;No online banking;B;No;Electronic check;19.65;244.8;No;4
190;Female;0;Yes;No;37;40;Yes;Yes;B;No;No;No;No;A;No;Credit card (automatic);56.6;2379.1;No;2
191;Male;0;Yes;Yes;33;43;Yes;Yes;B;Yes;Yes;No;Yes;B;Yes;Credit card (automatic);71.9;3173.35;No;1
192;Male;0;Yes;No;58;6;Yes;No;A;No;No;No;Yes;A;Yes;Electronic check;91;531;Yes;1
193;Female;0;Yes;Yes;51;69;Yes;No;No;;No;No online banking;No online banking;C;No;Bank transfer (automatic);19.75;1375.4;No;1
194;Female;0;Yes;Yes;19;72;Yes;Yes;A;Yes;No;Yes;Yes;C;No;Credit card (automatic);109.7;8129.3;No;1
195;Male;0;Yes;Yes;30;59;Yes;No;No;;No;No online banking;No online banking;C;No;Credit card (automatic);19.3;1192.7;No;1
196;Female;0;Yes;No;36;20;Yes;No;A;Yes;Yes;Yes;No;A;Yes;Electronic check;96.55;1901.65;No;4
197;Male;0;Yes;Yes;48;24;Yes;Yes;No;;No;No online banking;No online banking;C;Yes;Bank transfer (automatic);24.1;587.4;No;1
198;Male;0;No;No;31;59;Yes;Yes;A;No;Yes;Yes;Yes;A;Yes;Electronic check;111.35;6519.75;No;2
199;Male;0;Yes;Yes;29;72;Yes;Yes;A;No;Yes;Yes;Yes;C;Yes;Bank transfer (automatic);112.25;8041.65;No;3
200;Male;0;No;Yes;22;1;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;20.75;20.75;No;3
201;Female;0;Yes;No;51;27;Yes;No;A;Yes;Yes;Yes;Yes;B;Yes;Credit card (automatic);101.9;2681.15;No;4
202;Female;0;No;No;38;14;Yes;No;A;No;Yes;No;No;A;Yes;Credit card (automatic);80.05;1112.3;No;4
203;Male;0;Yes;Yes;56;71;Yes;Yes;A;Yes;No;Yes;Yes;C;No;Electronic check;105.55;7405.5;No;5
204;Male;0;No;Yes;25;13;Yes;No;A;No;No;Yes;No;A;Yes;Credit card (automatic);78.3;1033.95;No;2
205;Male;0;No;No;36;44;Yes;No;A;No;No;No;No;A;No;Credit card (automatic);68.85;2958.95;No;4
206;Female;0;No;No;28;33;Yes;No;A;No;Yes;No;No;B;Yes;Bank transfer (automatic);79.95;2684.85;No;5
207;Male;0;Yes;Yes;29;72;No;;B;Yes;Yes;No;Yes;C;Yes;Credit card (automatic);55.45;4179.2;No;3
208;Male;0;No;No;38;1;Yes;No;A;No;No;No;Yes;A;No;Electronic check;79.9;79.9;Yes;1
209;Female;0;No;No;44;19;Yes;No;A;Yes;Yes;Yes;Yes;A;Yes;Electronic check;106.6;1934.45;Yes;4
210;Male;0;Yes;No;27;64;Yes;No;A;No;Yes;Yes;Yes;B;Yes;Credit card (automatic);102.45;6654.1;No;2
211;Male;0;No;No;33;2;Yes;No;B;No;No;No;No;A;Yes;Credit card (automatic);46;84.5;Yes;1
212;Female;0;No;No;57;1;No;;B;No;No;No;No;A;No;Electronic check;25.25;25.25;No;3
213;Male;0;No;Yes;22;61;Yes;No;No;;No;No online banking;No online banking;C;No;Mailed check;19.75;1124.2;No;2
214;Female;0;Yes;Yes;56;29;Yes;No;No;;No;No online banking;No online banking;B;No;Electronic check;20;540.05;No;4
215;Male;1;Yes;No;84;23;Yes;Yes;A;No;No;No;Yes;A;No;Electronic check;86.8;1975.85;No;1
216;Female;0;Yes;No;26;57;No;;B;Yes;No;Yes;Yes;A;Yes;Bank transfer (automatic);58.75;3437.45;No;2
217;Male;0;Yes;Yes;31;72;No;;B;Yes;Yes;No;No;C;No;Credit card (automatic);45.25;3139.8;No;4
218;Male;0;Yes;No;29;66;No;;B;Yes;Yes;Yes;No;C;Yes;Bank transfer (automatic);56.6;3789.2;No;2
